Product_ID,Product Name,Category,Brand,Source,Price (INR),Product Description,Specifications & Warranty,Source URL
Elec-01,boAt Airdopes 141 Gen 2 TWS Earbuds,Electronics,boAt,Amazon India,999,"True wireless earbuds with 48-hour total playback, 4-mic ENx tech for crystal-clear calls, Beast Mode low-latency gaming, and IPX4 sweat resistance.",Drivers: 6mm | BT: v5.4 | Playback: 48 hrs (buds+case) | Fast Charge: 10 min = 180 min | IPX4 | Warranty: 1 Year,https://www.amazon.in/boAt-Airdopes-141-Streaming-Bluetooth/dp/B0F8BVSK21/
Elec-02,Belkin 10000 mAh Power Bank USB-C PD 15W,Electronics,Belkin,Amazon India,1999,"Compact 10,000 mAh power bank with USB-C PD port, charges 3 devices simultaneously at up to 15W, includes USB-A to USB-C cable.","Capacity: 10,000 mAh | Ports: 2x USB-A + 1x USB-C | Max Output: 15W | LED Indicator | Warranty: 2 Years + $2500 Connected Equipment Warranty",https://www.amazon.in/Belkin-Charges-Devices-simultaneously-Samsung/dp/B092TN8FWV/
Elec-03,Apple iPad 11-inch A16 Chip 128GB Wi-Fi 6,Electronics,Apple, Amazon India,34400,"11-inch iPad with A16 chip, Liquid Retina display, 12MP front and back cameras, Touch ID, USB-C, and all-day battery. Available in 4 colours.","Chip: A16 | Display: 11"" Liquid Retina | Storage: 128GB–512GB | Camera: 12MP F+R | Wi-Fi 6 | USB-C | Warranty: 1 Year Apple Limited",https://www.amazon.in/Apple-iPad-11%E2%80%B3-Display-All-Day/dp/B0DZ79Q1DB/
Elec-04,Sony WH-CH720N Wireless Noise Cancelling Headphones,Electronics,Sony,Amazon India,8489,"Sony's lightest wireless ANC headband with Integrated Processor V1, 35-hour battery, Adaptive Sound Control, and multi-point Bluetooth pairing.",Driver: 30mm | BT: 5.2 | ANC: Integrated Processor V1 | Battery: up to 35 hrs | Quick Charge: 3 min = 60 min | Weight: 192g | Warranty: 1 Year,https://www.amazon.in/Sony-Cancellation-Headphones-Multi-Point-Connection/dp/B0BS1QCFHX/
Elec-05,Philips TAT1269 True Wireless Earbuds Bluetooth 5.4,Electronics,Philips,Amazon India,999,"Budget TWS earbuds featuring 13mm drivers, Bluetooth 5.4, 40-hour playtime, IPX5 water resistance, and 10-min fast charging via USB-C.",Drivers: 13mm | BT: 5.4 | Playback: 40 hrs total | Fast Charge: 10 min = 100 min | IPX5 | Touch Controls | Voice Assistant | Warranty: 1 Year,https://www.amazon.in/Philips-Bluetooth-Wireless-Assistant-Indicator/dp/B0GK7LB2L2/
Elec-06,Samsung 24-inch FHD Monitor 100Hz LS24F330EAWXXL,Electronics,Samsung,Amazon India,6799,"24-inch VA flat monitor with 1920×1080 FHD resolution, 100Hz refresh, 5ms response time, Eye Saver Mode, and 3-year manufacturer warranty.",Panel: VA | Resolution: 1920×1080 | Refresh: 100Hz | Response: 5ms (GTG) | Ports: D-Sub + HDMI 1.4 | Brightness: 250 cd/m² | Warranty: 3 Years,https://www.amazon.in/Samsung-Monitor-D-Sub-Ports-Viewing/dp/B0G2Y9HDM5/
Elec-07,Samsung Galaxy Tab S10 Lite AI 10.9-inch 6GB 128GB,Electronics,Samsung,Amazon India,34999,"10.9-inch Android tablet with S Pen, 90Hz display, Galaxy AI features, 8000 mAh super-fast charge battery, and IP42 rating.","Display: 10.9"" 90Hz | RAM: 6GB | Storage: 128GB | Battery: 8000 mAh | S Pen Included | IP42 | Wi-Fi | Warranty: 1 Year (Device) + 6 Months (Accessories)",https://www.amazon.in/Samsung-Galaxy-Display-Refresh-Storage/dp/B0FNWNZZ1B/
Elec-08,HAMMER Active Bluetooth Calling Smartwatch IP67,Electronics,HAMMER,Amazon India,1499,"Round-dial smartwatch with Bluetooth calling, rotating crown, SpO2 & HR monitoring, 100+ sport modes, and music control via speaker.","Display: 1.32"" HD 385 PPI | Bluetooth Calling | IP67 | SpO2 & HR | 100+ Sport Modes | Rotating Crown | Warranty: 6 Months (Manufacturing Defects Only)",https://www.amazon.in/Hammer-Active-Bluetooth-Monitoring-Breathing/dp/B09XVCNDGH/
Elec-09,boAt Lunar Vista 1.52-inch Smartwatch AOD 100+ Sports,Electronics,boAt,Amazon India,1599,"Smartwatch featuring 1.52"" HD AuraVue display, Always-On Display, 550 nits brightness, 100+ sports modes, and functional crown navigation.","Display: 1.52"" HD AuraVue | Brightness: 550 nits | AOD | Battery: up to 2 days (AOD on) | HR & SpO2 | IP67 | 100+ Sport Modes | Warranty: 1 Year",https://www.amazon.in/boAt-Advanced-Bluetooth-Functional-Monitoring/dp/B0CF1NTL6M/
Elec-10,SanDisk Cruzer Blade 32GB USB 2.0 Pen Drive,Electronics,SanDisk,Amazon India,739,Ultra-compact 32GB USB 2.0 flash drive with SanDisk SecureAccess software for password-protected file storage.,Capacity: 32GB | Interface: USB 2.0 | Read: up to 70 MB/s | Write: 20 MB/s | OS: Windows & Mac | Warranty: 5 Years Limited,https://www.amazon.in/SANDISK-Cruzer-Pendrive-Warranty-SDCZ50-032G-I35/dp/B005FYNT3G/
Elec-11,HP v236w 64GB Metal USB 2.0 Pen Drive,Electronics,HP,Amazon India,961,"64GB metal-body USB 2.0 pen drive with lidless compact design, anti-fake electronic plating finish, and shock/temperature/vibration resistance.","Capacity: 64GB | Interface: USB 2.0 | Read: 14 MB/s | Write: 4 MB/s | Build: Metal | OS: Windows XP–10, Mac OS 10.3+ | Warranty: 2 Years",https://www.amazon.in/HP-v236w-64GB-USB-Drive/dp/B01L8ZNWN2/
Elec-12,Noise Twist Go Round Dial Smartwatch BT Calling IP68,Electronics,Noise,Amazon India,1599,"Metal-build round smartwatch with 1.39"" display, Bluetooth calling, NoiseFit app, IP68, 100+ sport modes, sleep tracking, and productivity suite.","Display: 1.39"" | Build: Glossy Metal | BT Calling | IP68 | HR, SpO2, Sleep Tracking | 100+ Sports | NoiseFit App | Warranty: 1 Year",https://www.amazon.in/Noise-Smartwatch-Calling-Tracking-Monitoring/dp/B0CQ4JT6NT/
Elec-13,Acer Predator Helios 16 Gaming Laptop i9-14900HX RTX 4070,Electronics,Acer,Amazon India,199990,"16-inch WQXGA gaming laptop with Intel Core i9-14900HX, RTX 4070 8GB, 16GB DDR5, 1TB SSD, 240Hz display, DCI-P3 100%, and Liquid Metal Thermal Grease.","CPU: Intel Core i9-14900HX | GPU: RTX 4070 8GB GDDR6 | RAM: 16GB DDR5 | Storage: 1TB SSD | Display: 16"" 2560×1600 240Hz 500nits DCI-P3 100% | Warranty: 1 Year",https://www.amazon.in/Acer-Predator-Processor-Windows-PH16-72/dp/B0CXPXT4XD/
Elec-14,Apple Magic Keyboard for iPad Pro 13-inch M4 Bluetooth,Electronics,Apple,Flipkart,31599,"Ultra-premium Bluetooth tablet keyboard for iPad Pro 13"" (M4), with standard key layout, 1042g weight, compatible with desktop and laptop use.","Model: MWR53HN/A | Interface: Bluetooth | Size: Standard | Weight: 1042g | Compatible: iPad Pro 13"" M4 | Color: Black | Warranty: 1 Year Apple",https://www.flipkart.com/apple-magic-keyboard-ipad-pro-13-m4-mwr53hn-a-bluetooth-tablet/p/itmb99e11682a772
